epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1272.97,1.847,1.50285,0.00428,0.42358,0.43113,0.3952,0.17053,1.69324,1.63059,0.00505,0.0043367,0.0043367,0.0043367
69,1291.42,1.79802,1.38453,0.0041,0.51064,0.40644,0.40588,0.16689,1.75195,1.62531,0.00513,0.0043268,0.0043268,0.0043268
70,1311.37,1.78312,1.52091,0.00427,0.41178,0.48708,0.43144,0.19525,1.69939,1.5329,0.00504,0.0043169,0.0043169,0.0043169
71,1329.63,1.793,1.43583,0.00424,0.50931,0.38792,0.40438,0.18917,1.66592,1.69327,0.00478,0.004307,0.004307,0.004307
72,1347.72,1.80368,1.45407,0.00404,0.42757,0.44551,0.39344,0.17979,1.66464,1.73545,0.00475,0.0042971,0.0042971,0.0042971
73,1365.94,1.74213,1.39968,0.00375,0.52551,0.39667,0.39196,0.20822,1.50998,1.36239,0.00438,0.0042872,0.0042872,0.0042872
74,1384.12,1.77505,1.42526,0.00408,0.44977,0.46528,0.42925,0.19925,1.58361,1.57323,0.00465,0.0042773,0.0042773,0.0042773
75,1403.73,1.75676,1.48655,0.00394,0.51859,0.42965,0.44729,0.21586,1.65957,1.50843,0.00491,0.0042674,0.0042674,0.0042674
76,1422.25,1.80086,1.39664,0.00411,0.592,0.49043,0.48304,0.23035,1.65709,1.36269,0.00485,0.0042575,0.0042575,0.0042575
77,1440.79,1.67678,1.26973,0.00373,0.55938,0.50636,0.49226,0.22205,1.65292,1.4499,0.00469,0.0042476,0.0042476,0.0042476
78,1458.83,1.75636,1.35909,0.00401,0.61745,0.41505,0.44293,0.21475,1.65516,1.48883,0.00473,0.0042377,0.0042377,0.0042377
79,1477.34,1.69192,1.34049,0.00386,0.49646,0.41879,0.46435,0.23894,1.60268,1.41544,0.00454,0.0042278,0.0042278,0.0042278
80,1497.19,1.75513,1.31362,0.00409,0.66051,0.45293,0.49333,0.25834,1.63975,1.46832,0.00469,0.0042179,0.0042179,0.0042179
81,1515.56,1.80413,1.40844,0.00407,0.75526,0.42496,0.50127,0.2291,1.63209,1.30924,0.00466,0.004208,0.004208,0.004208
82,1533.81,1.86202,1.34094,0.00415,0.6093,0.48432,0.51759,0.24143,1.64519,1.54879,0.00476,0.0041981,0.0041981,0.0041981
83,1552.32,1.83156,1.43659,0.00413,0.63174,0.42132,0.49784,0.2432,1.65094,1.58221,0.00482,0.0041882,0.0041882,0.0041882
84,1571.09,1.70428,1.25565,0.00389,0.65895,0.47674,0.51132,0.26516,1.55369,1.56955,0.00435,0.0041783,0.0041783,0.0041783
85,1590.89,1.78373,1.39369,0.0039,0.54963,0.48746,0.49226,0.26327,1.56534,1.32831,0.00449,0.0041684,0.0041684,0.0041684
86,1609.48,1.7378,1.22243,0.0038,0.777,0.45293,0.52609,0.26928,1.55435,1.47802,0.00458,0.0041585,0.0041585,0.0041585
87,1628.02,1.76396,1.36943,0.00411,0.61436,0.48457,0.49581,0.26574,1.54715,1.44273,0.00447,0.0041486,0.0041486,0.0041486
88,1646.22,1.75687,1.32928,0.00401,0.58333,0.5216,0.49456,0.24154,1.62467,1.46444,0.00476,0.0041387,0.0041387,0.0041387
89,1665.16,1.72328,1.30683,0.00399,0.63506,0.4396,0.47883,0.22256,1.64213,1.39776,0.00495,0.0041288,0.0041288,0.0041288
90,1684.36,1.66745,1.18965,0.00388,0.75113,0.44784,0.49478,0.25291,1.52542,1.42884,0.00452,0.0041189,0.0041189,0.0041189
91,1702.59,1.72318,1.27565,0.00374,0.63482,0.46033,0.48561,0.25129,1.58779,1.47374,0.00456,0.004109,0.004109,0.004109
92,1721.05,1.76347,1.1832,0.00378,0.62857,0.53723,0.53137,0.26003,1.60183,1.42504,0.00462,0.0040991,0.0040991,0.0040991
93,1739.43,1.75238,1.27889,0.00398,0.64888,0.56981,0.54878,0.26902,1.64123,1.43341,0.00486,0.0040892,0.0040892,0.0040892
94,1758.56,1.65339,1.26682,0.00362,0.52553,0.49653,0.49825,0.24921,1.63302,1.4857,0.0045,0.0040793,0.0040793,0.0040793
95,1777.95,1.68211,1.20358,0.00342,0.51434,0.48355,0.44805,0.20159,1.66695,1.47134,0.0046,0.0040694,0.0040694,0.0040694
96,1796.19,1.65444,1.22815,0.00388,0.48875,0.49363,0.45156,0.20809,1.59813,1.30317,0.00432,0.0040595,0.0040595,0.0040595
97,1814.5,1.66066,1.28921,0.00381,0.60037,0.53395,0.52006,0.2491,1.62958,1.52778,0.00441,0.0040496,0.0040496,0.0040496
98,1832.88,1.73456,1.20751,0.0041,0.52696,0.44016,0.44283,0.21632,1.64385,1.52,0.00466,0.0040397,0.0040397,0.0040397
99,1851.92,1.65135,1.15128,0.00369,0.61705,0.49091,0.48265,0.24376,1.57164,1.31975,0.00471,0.0040298,0.0040298,0.0040298
100,1871,1.76527,1.19246,0.00393,0.59256,0.55698,0.51909,0.2729,1.57185,1.46581,0.00457,0.0040199,0.0040199,0.0040199
101,1889.47,1.68545,1.27436,0.00374,0.62406,0.49981,0.49507,0.25529,1.68923,1.34525,0.00492,0.00401,0.00401,0.00401
102,1907.78,1.70316,1.12661,0.00371,0.57665,0.54012,0.48182,0.24238,1.60756,1.53479,0.00445,0.0040001,0.0040001,0.0040001
103,1925.98,1.64443,1.07015,0.00381,0.58713,0.47743,0.47783,0.24868,1.65588,1.35442,0.00484,0.0039902,0.0039902,0.0039902
104,1946.06,1.68211,1.14699,0.00385,0.57032,0.44676,0.4601,0.22191,1.64183,1.434,0.00466,0.0039803,0.0039803,0.0039803
105,1964.57,1.74328,1.20903,0.00373,0.60943,0.4568,0.46112,0.25591,1.62437,1.44189,0.00473,0.0039704,0.0039704,0.0039704
106,1982.91,1.64639,1.0398,0.00359,0.55362,0.5177,0.48151,0.24987,1.61279,1.49619,0.00458,0.0039605,0.0039605,0.0039605
107,2000.97,1.66187,1.14264,0.00366,0.55595,0.52442,0.48768,0.24257,1.69051,1.5365,0.00477,0.0039506,0.0039506,0.0039506
108,2019.5,1.61395,1.12871,0.00344,0.5286,0.46175,0.44525,0.24697,1.66932,1.62837,0.0049,0.0039407,0.0039407,0.0039407
109,2039.45,1.63629,0.99506,0.00347,0.60499,0.48246,0.49419,0.26122,1.64211,1.54067,0.00479,0.0039308,0.0039308,0.0039308
110,2057.63,1.59587,1.1156,0.00351,0.62032,0.52185,0.56274,0.27315,1.72936,1.44511,0.00484,0.0039209,0.0039209,0.0039209
111,2076.29,1.5722,1.05088,0.00363,0.5309,0.44059,0.47061,0.24149,1.65445,1.5457,0.00461,0.003911,0.003911,0.003911
112,2094.73,1.57588,1.01482,0.00354,0.81236,0.44348,0.54911,0.28676,1.6066,1.42175,0.00453,0.0039011,0.0039011,0.0039011
113,2113.91,1.61234,1.07221,0.00359,0.57448,0.43439,0.44849,0.21842,1.66742,1.43176,0.00481,0.0038912,0.0038912,0.0038912
114,2133.43,1.61237,1.07405,0.00361,0.51266,0.46238,0.45196,0.22371,1.66778,1.57601,0.00468,0.0038813,0.0038813,0.0038813
115,2151.87,1.68117,1.18303,0.00369,0.6478,0.45932,0.52523,0.29058,1.6544,1.5645,0.00492,0.0038714,0.0038714,0.0038714
116,2170.62,1.5602,1.08618,0.00352,0.65355,0.52733,0.53404,0.27621,1.62861,1.32129,0.00482,0.0038615,0.0038615,0.0038615
117,2188.97,1.58085,1.05071,0.0037,0.52887,0.53067,0.4832,0.24997,1.62372,1.49856,0.00482,0.0038516,0.0038516,0.0038516
118,2208.17,1.66341,1.02056,0.00361,0.67712,0.53434,0.57587,0.31736,1.53157,1.38171,0.00431,0.0038417,0.0038417,0.0038417
119,2227.37,1.63449,1.07076,0.00374,0.66699,0.57635,0.58496,0.30021,1.58313,1.38564,0.00415,0.0038318,0.0038318,0.0038318
120,2245.43,1.6272,1.05793,0.00383,0.54903,0.59719,0.52402,0.27935,1.50051,1.45552,0.00419,0.0038219,0.0038219,0.0038219
121,2263.62,1.6125,1.1169,0.00353,0.56732,0.61825,0.58652,0.29305,1.5947,1.46844,0.00453,0.003812,0.003812,0.003812
122,2281.76,1.51468,1.06084,0.00352,0.63266,0.52757,0.5531,0.26646,1.64562,1.36915,0.00455,0.0038021,0.0038021,0.0038021
123,2300.96,1.50625,1.02269,0.00334,0.63896,0.46277,0.50859,0.25833,1.58795,1.55366,0.00468,0.0037922,0.0037922,0.0037922
124,2320.04,1.60517,1.0989,0.00365,0.64008,0.58989,0.52178,0.26796,1.58454,1.53306,0.00457,0.0037823,0.0037823,0.0037823
125,2338.25,1.46652,1.04795,0.00334,0.56711,0.54958,0.50275,0.24744,1.62596,1.45559,0.00479,0.0037724,0.0037724,0.0037724
126,2356.64,1.6252,1.04801,0.00357,0.60742,0.56942,0.53206,0.26436,1.65711,1.49155,0.0048,0.0037625,0.0037625,0.0037625
127,2375.01,1.53994,1.06695,0.00328,0.59931,0.52713,0.53459,0.26823,1.60636,1.43639,0.00466,0.0037526,0.0037526,0.0037526
128,2394.59,1.62229,0.97922,0.00356,0.54432,0.54728,0.48888,0.26117,1.61027,1.34362,0.00465,0.0037427,0.0037427,0.0037427
129,2413.56,1.60172,0.97028,0.00373,0.69427,0.49334,0.50038,0.28384,1.61364,1.28322,0.00467,0.0037328,0.0037328,0.0037328
130,2431.85,1.53577,1.02469,0.00336,0.63446,0.6211,0.57942,0.32365,1.58089,1.39496,0.00452,0.0037229,0.0037229,0.0037229
131,2450.38,1.47788,1.07747,0.00334,0.65835,0.55301,0.5379,0.28863,1.5619,1.38749,0.00447,0.003713,0.003713,0.003713
132,2468.93,1.61076,0.97645,0.00377,0.6961,0.56251,0.57966,0.31149,1.56872,1.34063,0.0043,0.0037031,0.0037031,0.0037031
133,2488.74,1.54916,0.96175,0.00341,0.73416,0.5245,0.55346,0.27245,1.61322,1.38999,0.00446,0.0036932,0.0036932,0.0036932
134,2507.32,1.53613,0.97151,0.00334,0.63437,0.53395,0.53703,0.26308,1.62398,1.42508,0.00443,0.0036833,0.0036833,0.0036833
135,2525.39,1.44661,0.86622,0.00332,0.65302,0.55682,0.53987,0.28772,1.57848,1.35725,0.00445,0.0036734,0.0036734,0.0036734
